,genes,ci_test_results,z_test_results,z_test_p_values,mean_diff
0,TMCC1,False,False,0.3459678728551253,-3.5085104418344777
1,RANBP3,True,True,4.8979270001743694e-05,-8.44464256393104
2,GABRG3,False,False,0.49360288726585166,2.1323937317028685
3,ARRDC5,False,True,0.0047350932247942155,-4.435245094323449
4,LRP3,False,False,0.5206716533191154,1.8965744194096885
5,TIMM23,False,False,0.6372286179064353,1.255257968793103
6,TBPL1,False,False,0.4964081935130452,-1.6037551646896517
7,BIRC8,False,False,0.36650094297957203,1.4437632755088659
8,TTC28,False,False,0.451225824176253,-1.0275233525696557
9,C19orf66,True,True,1.9120451001770908e-08,-6.44989606597931
10,ZNF583,False,False,0.3129052005063133,-2.288652802909655
11,NXPH4,False,False,0.9951504802299516,0.022065155953930216
12,MAK,False,False,0.5465671424734382,0.2527213856795625
13,MXD3,True,True,3.448542144147047e-07,-6.253335925889658
14,UCP2,False,False,0.11488467132801194,-58.32070885103451
15,HELB,False,False,0.7151742599947899,0.6177383067089659
16,CCDC25,False,False,0.7010386850057346,0.4870642763241406
17,DHPS,False,False,0.6659679154020257,-0.9984387433793174
18,PAFAH1B2,False,False,0.0541944699502144,3.7880157877930998
19,SIGLEC7,True,True,3.572397815557232e-16,-17.64036488878152
20,CAMLG,False,False,0.6922492523941526,1.6033286644137945
21,KCNQ2,False,False,0.5578047706378157,1.9612700104561283
22,COPS6,False,False,0.9795582900454224,-0.2416605814482864
23,CHCHD3,False,False,0.335335495046868,-3.4223113861379275
24,GSG2,False,False,0.45768064241374384,0.338908574882689
25,CLEC4C,True,True,0.00046142726050348433,-33.63470200560999
26,FAM216A,False,False,0.12040081014642663,1.1608474427510327
27,NONO,False,False,0.1788876516938287,9.903354661379353
28,OTOG,False,False,0.7631930549754588,0.44007363068246913
29,SLC25A47,False,False,0.31778489178990943,0.13649015761033104
30,CHGA,True,False,0.21130479577361405,3.0609297650377387
31,CHM,False,False,0.20038921820556344,1.7120964821379303
32,GABRB2,False,False,0.890745386141454,0.11769951736278772
33,SRGN,True,True,2.931385934408288e-07,-306.59518763220694
34,EDDM3B,False,False,0.28532949412430897,3.153136159854603
35,TRIP11,False,False,0.5873862101401496,0.9415432628000033
36,RNASET2,False,False,0.05579442122011284,-27.669978719310365
37,PPP1R18,True,True,3.038974220829012e-16,-54.169522782965544
38,S1PR1,False,False,0.16441844750175938,-7.18423490359379
39,TANC1,False,False,0.26595687605178064,-1.1250749541808283
40,TAS2R50,False,False,0.21337766737632913,-2.760975664965055
41,CCNF,False,False,0.41219554320195373,1.2309106205903433
42,KIAA1147,False,False,0.284744541436178,2.595968309048274
43,CYBRD1,False,False,0.8313296928559083,-0.9272646752951736
44,VPS25,False,False,0.23259236437020558,-3.9191197128275874
45,RANBP17,False,False,0.595552104124053,-1.1314351064204509
46,PLEKHD1,False,False,0.727789222159116,-0.6024437363351036
47,RAPGEF3,False,False,0.8091721014320912,-0.12333018770517201
48,DLG5,False,False,0.6287888551495424,-1.4546112616081857
49,OR8U8,False,False,0.8047613036855085,0.13238270239189695
50,CCDC85C,False,False,0.2867066429573413,2.5302015675034486
51,ABR,True,True,5.02666144126032e-05,-100.25389361772415
52,HNRNPCL3,True,False,0.23320618409278027,2.3383175865012022
53,NKAP,False,True,0.044039230062255394,-2.7500833194344825
54,TCP11L2,False,False,0.09149825070197243,8.174412860172417
55,LHX9,False,False,0.7181070916881926,0.41862559086082407
56,NEUROD4,False,False,0.3466639047888801,-2.0198630671480595
57,ERBB2,False,False,0.5097433965000362,-9.849241595455169
58,MMP3,False,False,0.7314218543861499,4.490827509733833
59,ENO4,False,False,0.7862718752094073,-0.339035706404881
60,ABCC1,False,False,0.22795864646418307,3.148854142613793
61,IGSF10,False,False,0.5627220089676026,1.8472913438687786
62,CACUL1,False,False,0.3010205180951542,-0.7835340209724126
63,CYB5D1,False,False,0.27340894874208577,1.511936484137932
64,ZNF616,False,False,0.8247831439689455,-0.2932552173724101
65,ELL,False,True,0.015891019146919438,-4.89274525866897
66,SDHAF2,True,True,0.012576576255462336,-5.147723096482757
67,SLC8B1,True,True,5.564918641592989e-05,-3.6347586631599995
68,FAU,True,True,0.009545912618853961,106.151301115862
69,PITHD1,False,False,0.05639865459384213,-5.1703805066896535
70,CD200R1,False,False,0.6251649018728573,0.45520845693496526
71,LRRC32,False,False,0.7497425485888235,0.6597870947360001
72,COPS5,False,True,0.014487635871086585,-5.9780657793103416
73,IDE,False,False,0.11395404638780232,3.707857286427588
74,MRPL38,False,True,0.04380141174352144,-4.6755038280620695
75,TDRD1,True,False,0.24530049909752105,3.3468368241353588
76,IAH1,True,True,0.00046884851630447325,-4.219253204344831
77,HRC,False,False,0.23699579877486388,-1.445273061575587
